COD,SUBCOD,CODE1,CODE2,D_NAME,FULLNAME,ABBR,DATA_COZD,DATA_ZAKR
581,421,32,54,"НУТЦ ""Электротехнология""","Научно-учебно-технологический центр ""Электротехнология""",НУТЦ Эле,1993-03-24T00:00:00,2012-12-07T00:00:00
582,421,32,54,НИЛ электротехн.установок диагностики слоист. систем,Научно-исследовательская лаборатория электротехнических установок диагностики слоистых систем,НИЛЭТУДСС,1993-03-17T00:00:00,
583,422,32,55,НИЛ двигателей внутреннего сгорания,Научно-исследовательская лаборатория двигателей внутреннего сгорания,НИЛ ДВС,1993-03-17T00:00:00,2009-12-01T00:00:00
584,422,32,55,НИЛ реакторов и парогенераторостроения,Научно-исследовательская лаборатория реакторов и парогенераторостроения,НИЛ РПГС,1993-03-17T00:00:00,2013-02-01T00:00:00
585,422,32,55,НИЛ колесно-гусеничных машин,Научно-исследовательская лаборатория колесно-гусеничных машин,НИЛ КГМ,1993-03-17T00:00:00,2013-02-01T00:00:00
586,422,32,55,НИЛ компрессоростроения,Научно-исследовательская лаборатория компрессоростроения,НИЛ КС,1993-03-17T00:00:00,2013-02-01T00:00:00
587,422,32,55,НИЛ атомных и тепловых энерг. установок,Научно-исследовательская лаборатория атомных и тепловых энергетических установок,НИЛ АТЭУ,1993-03-17T00:00:00,2013-02-01T00:00:00
588,35,0,0,Отраслевая лаборатория РАО ЕЭС России,Отраслевая лаборатория РАО ЕЭС России,ОЛРАОЕЭС,1997-05-07T00:00:00,2010-01-11T00:00:00
589,422,32,55,НИЛ вихревой техники,Научно-исследовательская лаборатория вихревой техники,НИЛ ВихТ,1993-03-17T00:00:00,2009-12-01T00:00:00
59,51,0,0,Кафедра машиноведения и деталей машин,"Кафедра ""Машиноведение и детали машин""",КМиДМ,1968-11-20T00:00:00,2012-12-10T00:00:00
590,2076,33,54,НИЛ транспортных и технол. систем,Научно-исследовательская лаборатория транспортных и технологических систем,НИЛ ТиТС,1993-03-17T00:00:00,
591,590,33,54,УНПЛ диагностики и модернизации напольн. безрельс. тр-та,"Учебно-научно-производственная лаборатория ""Диагностика и модернизация напольного безрельсового транспорта""",УНПЛ ДиМ,1993-03-17T00:00:00,2009-12-01T00:00:00
592,521,33,0,НИЛ машин и технологии обр. металло давлением,Научно-исследовательская лаборатория машин  и технологии обработки металлов давлением,НИЛМиТО,1993-03-17T00:00:00,2009-12-01T00:00:00
593,521,33,0,НИЛ теории машин и механизмов,Научно-исследовательская лаборатория теории машин и механизмов,НИЛ ТММ,1993-03-17T00:00:00,2009-12-01T00:00:00
