id1,id2,name1,name2,uid1,uid2,weight
app_54675,app_39652,Негуляева Е.Ю.,Масликов В.И.,1134,1134,1
app_97129,app_39253,Чапало И.Е.,Медведев А.В.,141,141,1
app_69390,app_54574,Греков Ф.Ф.,Черновец Б.В.,2078,1492,1
app_69589,app_126,Яшин А.Ю.,Буланин В.В.,557,155,1
app_69589,app_1843,Яшин А.Ю.,Векшина Е.О.,557,155,1
app_69589,app_24152,Яшин А.Ю.,Буланин В.В.,557,155,1
app_31749,app_25686,Зегжда П.Д.,Калинин М.О.,129,129,1
app_69589,app_58521,Яшин А.Ю.,Патров М.И.,557,1676,1
app_69589,app_58576,Яшин А.Ю.,Присяжнюк Д.В.,557,1676,1
app_69589,app_58596,Яшин А.Ю.,Курскиев Г.С.,557,1676,1
app_69591,app_32278,Барышникова М.В.,Александров С.Е.,2078,141,1
app_69591,app_48396,Барышникова М.В.,Филатов Л.А.,2078,1492,1
app_69592,app_36007,Протопопова В.С.,Филатов Л.А.,2078,94,1
app_69592,app_36737,Протопопова В.С.,Александров С.Е.,2078,338,1
app_69684,app_48058,Петров В.М.,Лиокумович Л.Б.,143,141,1
app_69684,app_61611,Петров В.М.,Медведев А.В.,143,141,1
app_69812,app_53998,Кононов А.А.,Шамшурин А.И.,788,1488,1
app_6985,app_12794,Кривошеев С.И.,Парфентьев А.А.,1020,580,1
app_69989,app_61529,Максимов М.В.,Омельченко А.В.,1496,78,1
app_69989,app_61700,Максимов М.В.,Савельев А.В.,1496,866,1
app_69989,app_63459,Максимов М.В.,Жуков А.Е.,1496,866,1
app_69989,app_67487,Максимов М.В.,Коренев В.В.,1496,1496,1
app_31749,app_25683,Зегжда П.Д.,Зегжда Д.П.,129,129,1
app_7003,app_13461,Кириллов А.И.,Зайцев Д.К.,45,73,1
app_7003,app_15421,Кириллов А.И.,Галаев С.А.,45,45,1
app_54675,app_39337,Негуляева Е.Ю.,Чусов А.Н.,1134,1134,1
app_70118,app_58973,Киски С.С.,Ватин Н.И.,13,13,1
app_31745,app_24270,Рожанский В.А.,Векшина Е.О.,155,155,1
app_70118,app_63100,Киски С.С.,Немова Д.В.,13,13,1
app_54621,app_39132,Адамьян Ю.Э.,Кривошеев С.И.,1020,1020,1
app_70310,app_40879,Курапцев А.С.,Соколов И.М.,143,81,1
app_70321,app_61697,Редьков А.В.,Журихина В.В.,866,866,1
app_70321,app_62222,Редьков А.В.,Липовский А.А.,866,866,1
app_70383,app_24276,Вагнер Ф..,Скоков В.Г.,1676,155,1
app_70383,app_37534,Вагнер Ф..,Мирошников И.В.,1676,155,1
app_70383,app_45096,Вагнер Ф..,Тимохин В.М.,1676,155,1
app_70383,app_48776,Вагнер Ф..,Гусаков Е.З.,1676,155,1
app_70383,app_58519,Вагнер Ф..,Есипов Л.А.,1676,1676,1
app_31745,app_24161,Рожанский В.А.,Сергеев В.Ю.,155,155,1
app_70383,app_58522,Вагнер Ф..,Крикунов С.В.,1676,1676,1
app_70383,app_58527,Вагнер Ф..,Бахарев Н.Н.,1676,1676,1
app_70383,app_58528,Вагнер Ф..,Разуменко Д.В.,1676,1676,1
app_97129,app_84614,Чапало И.Е.,Котов О.И.,141,141,1
app_70383,app_58538,Вагнер Ф..,Гурченко А.Д.,1676,1676,1
app_70383,app_58539,Вагнер Ф..,Алтухов А.Б.,1676,1676,1
app_70383,app_58541,Вагнер Ф..,Лашкул С.И.,1676,1676,1
app_70383,app_58576,Вагнер Ф..,Присяжнюк Д.В.,1676,1676,1
app_70383,app_58578,Вагнер Ф..,Жубр Н.А.,1676,1676,1
app_70383,app_58580,Вагнер Ф..,Ибляминова А.Д.,1676,1676,1
app_70383,app_58588,Вагнер Ф..,Куприенко Д.В.,1676,1676,1
app_70383,app_58592,Вагнер Ф..,Селюнин Е.П.,1676,1676,1
app_70383,app_58595,Вагнер Ф..,Степанов А.Ю.,1676,1676,1
app_31745,app_100157,Рожанский В.А.,Молчанов П.А.,155,557,1
app_70383,app_59034,Вагнер Ф..,Кантор М.Ю.,1676,1676,1
app_70383,app_69589,Вагнер Ф..,Яшин А.Ю.,1676,557,1
app_70419,app_53744,Якунина М.В.,Ходорковский М.А.,1453,1540,1
app_70426,app_100858,Боровков А.И.,Казакин А.Н.,338,329,1
app_54574,app_53895,Черновец Б.В.,Греков Ф.Ф.,1492,551,1
app_31724,app_25007,Козловская Э.А.,Яковлева Е.А.,110,110,1
app_70426,app_55064,Боровков А.И.,Журавская Е.А.,338,599,1
app_70426,app_57529,Боровков А.И.,Ховайко М.В.,338,224,1
app_54572,app_30549,Валдайцева Е.А.,Цибульский И.А.,971,971,1
app_93650,app_92921,Паневин В.Ю.,Балагула Р.М.,146,146,1
app_70426,app_67574,Боровков А.И.,Лукин А.В.,338,599,1
app_93650,app_93276,Паневин В.Ю.,Махов И.С.,146,146,1
app_70432,app_360,Арсеньев Д.Г.,Иванов В.М.,338,466,1
app_93666,app_83453,Ермак С.В.,Баранов А.А.,143,2214,1
app_70432,app_58778,Арсеньев Д.Г.,Полянский В.А.,338,1549,1
app_70432,app_59769,Арсеньев Д.Г.,Стрелец К.И.,338,13,1
app_70432,app_66896,Арсеньев Д.Г.,Сергеев В.В.,338,2023,1
app_70514,app_70321,Редуто И.В.,Редьков А.В.,866,866,1
app_54572,app_30534,Валдайцева Е.А.,Земляков Е.В.,971,971,1
app_54568,app_28395,Наумов А.А.,Семенов А.С.,91,74,1
app_54568,app_100064,Наумов А.А.,Соколов Д.Ф.,91,1709,1
app_70522,app_62803,Лукша О.И.,Архипов А.В.,144,144,1
app_54565,app_46503,Ларионова Т.В.,Кольцова Т.С.,90,90,1
app_7065,app_11056,Бондаренко П.Н.,Белько В.О.,25,25,1
app_7065,app_310,Бондаренко П.Н.,Емельянов О.А.,25,25,1
app_70845,app_67402,Синицына Т.О.,Шхинек К.Н.,6,6,1
app_70885,app_70884,Крикун Т.С.,Верт Т.С.,122,122,1
app_71,app_41606,Беляев А.Н.,Смоловик С.В.,24,24,1
app_71062,app_41438,Шмидт А.Е.,Рычков Г.Н.,770,71,1
app_71062,app_57275,Шмидт А.Е.,Шабалин К.А.,770,71,1
app_71062,app_65486,Шмидт А.Е.,Нериновский К.Б.,770,1453,1
app_71062,app_71061,Шмидт А.Е.,Суржик М.А.,770,770,1
app_31724,app_24997,Козловская Э.А.,Демиденко Д.С.,110,110,1
app_71168,app_55064,Немов А.С.,Журавская Е.А.,74,599,1
app_71168,app_57529,Немов А.С.,Ховайко М.В.,74,224,1
app_31718,app_27840,Бердников Я.А.,Троицкая Н.И.,70,70,1
app_71168,app_67574,Немов А.С.,Лукин А.В.,74,599,1
app_54564,app_39620,Зотов О.Г.,Колбасников Н.Г.,90,91,1
app_54560,app_40584,Кржижановская В.В.,Рябошук С.В.,1492,87,1
app_71175,app_58312,Сидорова А.А.,Ярошенко Д.В.,353,1299,1
app_54558,app_53816,Мишин М.В.,Ясеновец Г.М.,1492,789,1
app_71207,app_65771,Максимов М.В.,Надточий А.М.,1496,1496,1
app_71210,app_65771,Крыжановская Н.В.,Надточий А.М.,1496,1496,1
app_71210,app_71207,Крыжановская Н.В.,Максимов М.В.,1496,1496,1
app_71213,app_196,Лашкул С.И.,Габдуллин П.Г.,1676,144,1
app_71213,app_24164,Лашкул С.И.,Шаталин С.В.,1676,155,1
app_71213,app_24270,Лашкул С.И.,Векшина Е.О.,1676,155,1
app_54558,app_48062,Мишин М.В.,Титов А.И.,1492,144,1
app_71213,app_58539,Лашкул С.И.,Алтухов А.Б.,1676,1676,1
app_71214,app_1842,Сахаров Н.В.,Сениченков И.Ю.,1676,155,1
app_54558,app_47535,Мишин М.В.,Карасев П.А.,1492,144,1
app_97255,app_72719,Зубов Ф.И.,Жуков А.Е.,1496,866,1
app_71214,app_53590,Сахаров Н.В.,Иванов А.Е.,1676,1483,1
app_71214,app_53769,Сахаров Н.В.,Яшин А.Ю.,1676,557,1
app_54558,app_44928,Мишин М.В.,Протопопова В.С.,1492,551,1
app_93670,app_84614,Ушаков Н.А.,Котов О.И.,141,141,1
app_71214,app_58527,Сахаров Н.В.,Бахарев Н.Н.,1676,1676,1
app_71214,app_58534,Сахаров Н.В.,Корнев В.А.,1676,1676,1
app_71214,app_58576,Сахаров Н.В.,Присяжнюк Д.В.,1676,1676,1
app_71214,app_58580,Сахаров Н.В.,Ибляминова А.Д.,1676,1676,1
app_54451,app_39302,Андреева Н.В.,Вахрушев С.Б.,144,144,1
app_71214,app_65750,Сахаров Н.В.,Иванов А.Е.,1676,70,1
app_71214,app_69589,Сахаров Н.В.,Яшин А.Ю.,1676,557,1
